"日曜日","日曜日[にちようび]","Sunday","日曜日","[sound:JLPT_Tango_N5_0134.mp3]","単語N5"
"月曜日","月曜日[げつようび]","Monday","月曜日","[sound:JLPT_Tango_N5_0135.mp3]","単語N5"
"火曜日","火曜日[かようび]","Tuesday","火曜日","[sound:JLPT_Tango_N5_0136.mp3]","単語N5"
"水曜日","水曜日[すいようび]","Wednesday","水曜日","[sound:JLPT_Tango_N5_0137.mp3]","単語N5"
"木曜日","木曜日[もくようび]","Thursday","木曜日","[sound:JLPT_Tango_N5_0138.mp3]","単語N5"
"金曜日","金曜日[きんようび]","Friday","金曜日","[sound:JLPT_Tango_N5_0139.mp3]","単語N5"
"土曜日","土曜日[どようび]","Saturday","土曜日","[sound:JLPT_Tango_N5_0140.mp3]","単語N5"
"A「明日は何曜日ですか。」<br>B「火曜日です。」","A 「 明日[あした]は 何[なん] 曜日[ようび]ですか。」<br>B 「 火曜日[かようび]です。」","""A: What day is it tomorrow?<br>B: It's Tuesday.<br><br>何[なん]よう 日[び] - What Day?""","A「明日は何曜日ですか。」<br>B「火曜日です。」","[sound:JLPT_Tango_N5_0141.mp3]","単語N5"
"今日は月曜日です。","今日[きょう]は 月曜日[げつようび]です。","Today is Monday.<br><br>きょう - Today","今日は月曜日です。","[sound:JLPT_Tango_N5_0142.mp3]","単語N5"
"明日、学校へ行きます。","明日[あした]、 学校[がっこう]へ 行[い]きます。","Tomorrow, I will go to school.<br><br>あした - Tomorrow","明日、学校へ行きます。","[sound:JLPT_Tango_N5_0143.mp3]","単語N5"
"昨日、大学へ行きました。","昨日[きのう]、 大学[だいがく]へ 行[い]きました。","Yesterday, I went to the university.<br><br>きのう - Yesterday","昨日、大学へ行きました。","[sound:JLPT_Tango_N5_0144.mp3]","単語N5"
"毎日、日本語を勉強します。","毎日[まいにち]、 日本語[にほんご]を 勉強[べんきょう]します。","I study Japanese every day.<br><br>毎日[まいにち]&nbsp;- Every Day","毎日、日本語を勉強します。","[sound:JLPT_Tango_N5_0145.mp3]","単語N5"
"アメリカへ二週間行きました。","アメリカへ二 週間[しゅうかん] 行[い]きました。","I went to America for two weeks.<br><br>～しゅうかん - week(s)","アメリカへ二週間行きました。","[sound:JLPT_Tango_N5_0146.mp3]","単語N5"
"日本語を一ヶ月勉強しました。","日本語[にほんご]を 一ヶ月[いっかげつ] 勉強[べんきょう]しました。","I studied Japanese for a month.<br><br>～か 月[げつ] - month(s)","日本語を一ヶ月勉強しました。","[sound:JLPT_Tango_N5_0147.mp3]","単語N5"
"韓国に5年いました。","韓国[かんこく]に5 年[ねん]いました。","I was in South Korea for five years.<br><br>～ 年[ねん] - year(s)","韓国に5年いました。","[sound:JLPT_Tango_N5_0148.mp3]","単語N5"
"1週間に3回コンビニへ行きます。","1 週間[しゅうかん]に3 回[かい]コンビニへ 行[い]きます。","I go to the convenience store three times a week.<br><br>～かい - Times","1週間に3回コンビニへ行きます。","[sound:JLPT_Tango_N5_0149.mp3]","単語N5"
"A「1週間に何回行きますか。」<br>B「2回行きます。」","A 「1 週間[しゅうかん]に 何[なん] 回[かい] 行[い]きますか。」<br>B 「2 回[かい] 行[い]きます。」","A: How many times a week do you go?<br>B: I go twice a week.<br><br>何[なん]かい - Number of Times","A「1週間に何回行きますか。」<br>B「2回行きます。」","[sound:JLPT_Tango_N5_0150.mp3]","単語N5"
"土曜日にアルバイトをします。","土曜日[どようび]にアルバイトをします。","I will go to my part-time job on Saturdays.<br><br>アルバイト(する) - Part-time Job","土曜日にアルバイトをします。","[sound:JLPT_Tango_N5_0151.mp3]","単語N5"
"日曜日はアルバイトをしません。","日曜日[にちようび]はアルバイトをしません。","""I don't go to my part-time job on Sundays.<br><br>する - Do""","日曜日はアルバイトをしません。","[sound:JLPT_Tango_N5_0152.mp3]","単語N5"
"日本の言葉が分かりません。","日本[にほん]の 言葉[ことば]が 分[わ]かりません。","""I don't understand the Japanese language.<br><br>ことば - Word / Language""","日本の言葉が分かりません。","[sound:JLPT_Tango_N5_0153.mp3]","単語N5"
"高校で日本の字を勉強しました。","高校[こうこう]で 日本[にほん]の 字[じ]をべんきょうしました。","I studied Japanese letters in high school.<br><br>字[じ] - Character (From Alphabet)","高校で日本の字を勉強しました。","[sound:JLPT_Tango_N5_0154.mp3]","単語N5"
"エジプトで日本語を勉強しました。","エジプトで 日本語[にほんご]を 勉強[べんきょう]しました。","I studied Japanese in Egypt.<br><br>にほんご - Japanese","エジプトで日本語を勉強しました。","[sound:JLPT_Tango_N5_0155.mp3]","単語N5"
"英語で話してください。","英語[えいご]で 話[はな]してください。","Please speak in English.<br><br>～ご - Language","英語で話してください。","[sound:JLPT_Tango_N5_0156.mp3]","単語N5"
"先生と日本語で話します。","先生[せんせい]と 日本語[にほんご]で 話[はな]します。","I speak Japanese with the teacher.<br><br>話[はな]す - Talk, Speak","先生と日本語で話します。","[sound:JLPT_Tango_N5_0157.mp3]","単語N5"
"先生はゆっくり話します。","先生[せんせい]はゆっくり 話[はな]します。","The teacher speaks slowly.<br><br>ゆっくり - Slowly","先生はゆっくり話します。","[sound:JLPT_Tango_N5_0158.mp3]","単語N5"
"ゆっくり言ってください。","ゆっくり 言[い]ってください。","Please repeat what you said slowly.<br><br>言[い]う - Say","ゆっくり言ってください。","[sound:JLPT_Tango_N5_0159.mp3]","単語N5"
"もう一度言います。","もう 一度[いちど] 言[い]います。","I will say it one more time.<br><br>もういちど - Once More","もう一度言います。","[sound:JLPT_Tango_N5_0160.mp3]","単語N5"
"もう一度お願いします。","もう 一度[いちど]お 願[ねが]いします。","Please repeat it one more time.<br><br>おねがいします - Please","もう一度お願いします。","[sound:JLPT_Tango_N5_0161.mp3]","単語N5"
"平仮名が分かります。","平仮名[ひらがな]が 分[わ]かります。","I know hiragana.<br><br>わかります - Understand, Know","平仮名が分かります。","[sound:JLPT_Tango_N5_0162.mp3]","単語N5"
"漢字が少し分かります。","漢字[かんじ]が 少[すこ]し 分[わ]かります。","I know a few kanji.<br><br>少[すこ]し - Little","漢字が少し分かります。","[sound:JLPT_Tango_N5_0163.mp3]","単語N5"
"もう少しゆっくり話してください。","もう 少[すこ]しゆっくり 話[はな]してください。","Please speak a little slower<br><br>もう少[すこ]し - A little","もう少しゆっくり話してください。","[sound:JLPT_Tango_N5_0164.mp3]","単語N5"
"よく分かりました。","よく 分[わ]かりました。","I understand well.<br><br>よく - Well","よく分かりました。","[sound:JLPT_Tango_N5_0165.mp3]","単語N5"
"大体分かりました。","大体[だいたい] 分[わ]かりました。","I roughly understand.<br><br>だいたい - Roughly, About, Main Point, Gist","大体分かりました。","[sound:JLPT_Tango_N5_0166.mp3]","単語N5"
"A「分かりましたか。」<br>B「いいえ。全然分かりませんでした。」","A 「 分[わ]かりましたか。」<br>B 「いいえ。 全然[ぜんぜん]分[わ]かりませんでした。」","""A: Did you understand?<br>B: No, I didn't understand it at all.<br><br>全然[ぜんぜん]&nbsp;- Not at all""","A「分かりましたか。」<br>B「いいえ。全然分かりませんでした。」","[sound:JLPT_Tango_N5_0167.mp3]","単語N5"
"平仮名","平仮名[ひらがな]","""Hiragana<div><br></div><div>Usually written """"ひらがな"""".</div>""","平仮名","[sound:JLPT_Tango_N5_0168.mp3]","単語N5"
"<div>片仮名</div>","片仮名[かたかな]<div><br></div><div>Usually written ""カタカナ"".</div>","Katakana","<div>片仮名</div>","[sound:JLPT_Tango_N5_0169.mp3]","単語N5"
